Juan,Raquel,Barrantes,12345678,nacho.alvarez2001@gmail.com,12345,8901012,6
Rodrigo,Ignacio,Barrantes,13468101,nacho.alvarez2001@gmail.com,12345,1234567,8
Pedro,Pedro,Alvarez,12345678,nacho.alvarez2001@gmail.yey,45678,8901012,4
Juan,Raquel,Ledezma,13468101,nacho.alvarez2001@gmail.wey,56789,1234567,2
Pedro,Juan,Ledezma,13468101,nacho.alvarez2001@gmail.wey,34567,1234567,3
Mario,Pedro,Alvarez,13468101,nacho.alvarez2001@gmail.still,00000,1234567,9
Ignacio,Rodrigo,Rojas,13468101,nacho.alvarez2001@gmail.com,12345,1234567,4
Juan,Juan,Rojas,12345678,nacho.alvarez2001@gmail.wey,23456,8901012,10
Raquel,Pedro,Alvarez,98765432,nacho.alvarez2001@gmail.yey,12345,8901012,9
Rodolfo,Raquel,Rojas,98765432,nacho.alvarez2001@gmail.still,34567,8901012,11
Mario,Ignacio,Barrantes,13468101,nacho.alvarez2001@gmail.yey,23456,8901012,1
Rodrigo,Pedro,Ledezma,13468101,nacho.alvarez2001@gmail.yey,00000,1234567,9
Juan,Mario,Barrantes,12345678,nacho.alvarez2001@gmail.wey,23456,1234567,1
Juan,Rodolfo,Rojas,98765432,nacho.alvarez2001@gmail.com,12345,1234567,1
Ignacio,Mario,Nuñez,98765432,nacho.alvarez2001@gmail.yey,23456,8901012,9
Ignacio,Rodrigo,Alvarez,98765432,nacho.alvarez2001@gmail.wey,23456,8901012,5
Rodrigo,Mario,Rojas,98765432,nacho.alvarez2001@gmail.yey,45678,1234567,9
Ignacio,Pedro,Barrantes,98765432,nacho.alvarez2001@gmail.wey,00000,8901012,4
Raquel,Raquel,Chaves,12345678,nacho.alvarez2001@gmail.com,45678,1234567,4
Rodrigo,Ignacio,Rojas,12345678,nacho.alvarez2001@gmail.still,12345,8901012,11
Rodrigo,Mario,Chaves,12345678,nacho.alvarez2001@gmail.wey,45678,1234567,6
Raquel,Pedro,Nuñez,98765432,nacho.alvarez2001@gmail.com,12345,8901012,2
Rodolfo,Juan,Rojas,98765432,nacho.alvarez2001@gmail.still,23456,1234567,1
Mario,Rodolfo,Rojas,98765432,nacho.alvarez2001@gmail.wey,45678,1234567,5
Ignacio,Pedro,Alvarez,13468101,nacho.alvarez2001@gmail.wey,12345,1234567,11
Ignacio,Rodolfo,Rojas,13468101,nacho.alvarez2001@gmail.com,45678,1234567,4
Raquel,Rodrigo,Chaves,12345678,nacho.alvarez2001@gmail.yey,56789,1234567,2
Juan,Juan,Barrantes,98765432,nacho.alvarez2001@gmail.still,34567,1234567,2
Juan,Pedro,Chaves,13468101,nacho.alvarez2001@gmail.yey,34567,1234567,10
Rodrigo,Ignacio,Chaves,98765432,nacho.alvarez2001@gmail.yey,45678,1234567,4
Ignacio,Rodolfo,Barrantes,12345678,nacho.alvarez2001@gmail.wey,45678,8901012,5
Raquel,Rodolfo,Rojas,13468101,nacho.alvarez2001@gmail.wey,00000,8901012,9
Mario,Rodolfo,Nuñez,12345678,nacho.alvarez2001@gmail.wey,00000,8901012,3
Mario,Rodrigo,Ledezma,12345678,nacho.alvarez2001@gmail.still,00000,8901012,8
Juan,Rodolfo,Barrantes,12345678,nacho.alvarez2001@gmail.wey,00000,8901012,4
Rodrigo,Pedro,Chaves,13468101,nacho.alvarez2001@gmail.yey,45678,8901012,9
Juan,Mario,Alvarez,12345678,nacho.alvarez2001@gmail.yey,56789,1234567,11
Ignacio,Pedro,Barrantes,12345678,nacho.alvarez2001@gmail.wey,34567,1234567,3
Rodrigo,Rodolfo,Barrantes,98765432,nacho.alvarez2001@gmail.wey,34567,8901012,9
Raquel,Mario,Ledezma,12345678,nacho.alvarez2001@gmail.wey,23456,1234567,11
Ignacio,Rodolfo,Barrantes,12345678,nacho.alvarez2001@gmail.wey,56789,1234567,1
Juan,Rodolfo,Chaves,98765432,nacho.alvarez2001@gmail.com,00000,1234567,3
Juan,Rodolfo,Ledezma,98765432,nacho.alvarez2001@gmail.com,23456,1234567,9
Rodrigo,Raquel,Nuñez,12345678,nacho.alvarez2001@gmail.yey,12345,8901012,9
Juan,Pedro,Ledezma,13468101,nacho.alvarez2001@gmail.still,23456,8901012,5
Mario,Juan,Ledezma,12345678,nacho.alvarez2001@gmail.yey,00000,8901012,8
Pedro,Rodolfo,Ledezma,12345678,nacho.alvarez2001@gmail.wey,23456,1234567,11
Ignacio,Raquel,Nuñez,98765432,nacho.alvarez2001@gmail.wey,56789,1234567,9
Pedro,Rodolfo,Alvarez,12345678,nacho.alvarez2001@gmail.still,34567,1234567,4
Rodrigo,Pedro,Rojas,13468101,nacho.alvarez2001@gmail.com,23456,8901012,3
Raquel,Ignacio,Nuñez,12345678,nacho.alvarez2001@gmail.wey,23456,8901012,4
Rodolfo,Pedro,Ledezma,98765432,nacho.alvarez2001@gmail.yey,00000,8901012,8
Rodrigo,Rodrigo,Chaves,13468101,nacho.alvarez2001@gmail.com,45678,8901012,6
Rodrigo,Ignacio,Nuñez,12345678,nacho.alvarez2001@gmail.yey,00000,8901012,11
Raquel,Rodolfo,Chaves,12345678,nacho.alvarez2001@gmail.wey,56789,1234567,1
Juan,Raquel,Alvarez,12345678,nacho.alvarez2001@gmail.still,23456,1234567,5
Rodolfo,Mario,Nuñez,12345678,nacho.alvarez2001@gmail.still,12345,8901012,11
Ignacio,Ignacio,Rojas,98765432,nacho.alvarez2001@gmail.wey,12345,1234567,4
Mario,Rodolfo,Alvarez,12345678,nacho.alvarez2001@gmail.still,45678,8901012,6
Pedro,Mario,Alvarez,13468101,nacho.alvarez2001@gmail.yey,12345,8901012,11
Mario,Pedro,Rojas,98765432,nacho.alvarez2001@gmail.still,12345,1234567,3
Ignacio,Pedro,Rojas,12345678,nacho.alvarez2001@gmail.wey,23456,1234567,10
Mario,Pedro,Alvarez,13468101,nacho.alvarez2001@gmail.wey,34567,8901012,1
Pedro,Ignacio,Rojas,98765432,nacho.alvarez2001@gmail.still,34567,8901012,5
Rodolfo,Ignacio,Chaves,98765432,nacho.alvarez2001@gmail.com,00000,1234567,6
Mario,Rodolfo,Alvarez,13468101,nacho.alvarez2001@gmail.still,56789,1234567,10
Rodrigo,Mario,Barrantes,12345678,nacho.alvarez2001@gmail.yey,23456,1234567,1
Rodolfo,Pedro,Rojas,98765432,nacho.alvarez2001@gmail.wey,00000,1234567,8
Mario,Ignacio,Nuñez,13468101,nacho.alvarez2001@gmail.still,12345,8901012,4
Mario,Ignacio,Rojas,98765432,nacho.alvarez2001@gmail.wey,56789,1234567,9
Rodrigo,Pedro,Alvarez,98765432,nacho.alvarez2001@gmail.yey,23456,8901012,4
Mario,Raquel,Alvarez,13468101,nacho.alvarez2001@gmail.com,23456,1234567,11
Raquel,Raquel,Alvarez,98765432,nacho.alvarez2001@gmail.still,12345,8901012,9
Mario,Pedro,Alvarez,12345678,nacho.alvarez2001@gmail.yey,00000,1234567,11
Rodolfo,Mario,Rojas,12345678,nacho.alvarez2001@gmail.wey,12345,1234567,2
Juan,Rodolfo,Ledezma,98765432,nacho.alvarez2001@gmail.com,56789,8901012,4
Pedro,Juan,Rojas,98765432,nacho.alvarez2001@gmail.wey,00000,8901012,5
Ignacio,Rodrigo,Rojas,13468101,nacho.alvarez2001@gmail.yey,23456,1234567,11
Raquel,Raquel,Barrantes,12345678,nacho.alvarez2001@gmail.com,23456,8901012,9
Pedro,Raquel,Chaves,13468101,nacho.alvarez2001@gmail.still,56789,8901012,10
Juan,Juan,Rojas,12345678,nacho.alvarez2001@gmail.still,12345,8901012,1
Rodolfo,Raquel,Rojas,13468101,nacho.alvarez2001@gmail.com,56789,8901012,5
Mario,Rodolfo,Chaves,13468101,nacho.alvarez2001@gmail.yey,56789,8901012,3
Ignacio,Ignacio,Alvarez,98765432,nacho.alvarez2001@gmail.still,00000,1234567,4
Mario,Juan,Chaves,12345678,nacho.alvarez2001@gmail.still,23456,1234567,8
Raquel,Rodolfo,Nuñez,13468101,nacho.alvarez2001@gmail.still,45678,8901012,9
Ignacio,Pedro,Ledezma,98765432,nacho.alvarez2001@gmail.com,23456,1234567,1
Pedro,Mario,Rojas,13468101,nacho.alvarez2001@gmail.wey,34567,8901012,9
Pedro,Raquel,Ledezma,13468101,nacho.alvarez2001@gmail.wey,12345,1234567,4
Rodrigo,Pedro,Rojas,13468101,nacho.alvarez2001@gmail.still,12345,1234567,3
Mario,Ignacio,Rojas,98765432,nacho.alvarez2001@gmail.com,45678,8901012,10
Rodolfo,Pedro,Chaves,98765432,nacho.alvarez2001@gmail.com,56789,8901012,8
Rodrigo,Juan,Ledezma,12345678,nacho.alvarez2001@gmail.wey,34567,1234567,8
Rodrigo,Rodolfo,Chaves,13468101,nacho.alvarez2001@gmail.still,56789,1234567,1
Pedro,Raquel,Alvarez,13468101,nacho.alvarez2001@gmail.wey,12345,1234567,3
Rodrigo,Pedro,Nuñez,12345678,nacho.alvarez2001@gmail.wey,45678,8901012,1
Rodolfo,Rodrigo,Rojas,98765432,nacho.alvarez2001@gmail.still,34567,8901012,9
Raquel,Juan,Ledezma,98765432,nacho.alvarez2001@gmail.yey,45678,1234567,10
Rodolfo,Ignacio,Nuñez,12345678,nacho.alvarez2001@gmail.yey,45678,1234567,11
Mario,Pedro,Rojas,98765432,nacho.alvarez2001@gmail.still,12345,8901012,10
